address	latitude	longitude
10502 NE 44th St	47.6499106	-122.1998848
10504 NE 44th St	47.6499132	-122.1995351
10510 NE 44th St	47.6499192	-122.1992498
10511 NE 44th St	47.649399	-122.1987814
10516 NE 44th St	47.6498572	-122.1989642
10521 NE 44th St	47.6494363	-122.1984923
10602 NE 44th St	47.6498773	-122.1986814
10610 NE 44th St	47.6498718	-122.1984007
10620 NE 44th St	47.6498911	-122.198113
10630 NE 44th St	47.6498672	-122.1978363
10640 NE 44th St	47.6499182	-122.1975456
10645 NE 44th St	47.6494804	-122.1976027
10648 NE 44th St	47.6498623	-122.197257
10701 NE 42 PL	47.6486317156911	-122.19780468735294
10702 NE 42 PL	47.648955659196574	-122.19760353153131
10704 NE 44th St	47.6498272	-122.196962
10705 NE 42 PL	47.64840116006485	-122.1977969315315
10710 NE 44th St	47.6498704	-122.196695
4101 106th  Pl NE	47.6471063	-122.1978406
4103 106th  Pl NE	47.6471973	-122.1981685
4104 106th Pl NE	47.64735023878935	-122.19761370269569
4112 107th Pl NE	47.64754699444501	-122.19745897386007
4113 106th  Pl NE	47.6475155	-122.1981338
4118 107th  Pl NE	47.6477004	-122.1973426
4119 107th  Pl NE	47.6477976	-122.1978105
4123 106th  Pl NE	47.6476138	-122.1985419
4124 106th  Pl NE	47.6478902	-122.1981023
4126 107th  Pl NE	47.6479301	-122.1971682
4201 106th  Pl NE	47.6477828	-122.1987015
4203 107th  Pl NE	47.6480538	-122.1977056
4206 106th  Pl NE	47.6481211	-122.1981438
4206 107th  Pl NE	47.6481146	-122.1969643
4207 106th  Pl NE	47.6480508	-122.1987862
4211 107th  Pl NE	47.6483187	-122.1974525
4216 106th  Pl NE	47.6483506	-122.1981099
4216 107th  Pl NE	47.6482714	-122.1967559
4217 105th Avenue  NE	47.6482606	-122.1987377
4221 105th Avenue  NE	47.6484288	-122.1991749
4222 106th  Pl  NE	47.6481311	-122.1983488
4222 107th  Pl NE	47.6484464	-122.1965961
4224 106th  Pl NE	47.6481437	-122.198344
4226 105th Avenue  NE	47.6487683	-122.1988184
4227 105th Avenue  NE	47.6485014	-122.1993969
4229 107th Pl NE	47.64870243766687	-122.1971129738599
4230 105th Avenue  NE	47.6489311	-122.1990065
4230 107th  Pl NE	47.648706	-122.1966254
4231 105th Avenue  NE	47.648722	-122.1996551
4234 105th Avenue  NE	47.6490837	-122.1991542
4301 105th Avenue  NE	47.6488927	-122.1998373
4303  NE 107th Pl	47.6488937	-122.1972046
4304 105th Avenue  NE	47.64929	-122.1992587
4304 107th Ave  NE	47.6540492	-122.1971089
4305 105th Avenue  NE	47.6491747	-122.1998159
4308 106th  Pl NE	47.6490332	-122.1979866
4310 105th Avenue  NE	47.6494459	-122.1991374
4310 106th  Pl NE	47.6491752	-122.197814
4311 106th  Pl NE	47.6490132	-122.1983488
4312 107th Ave NE	47.6540492	-122.1971089
4313 106th  Pl NE	47.6491528	-122.1985965
4313 NE 107th Pl	47.6490912	-122.1972499
4315 107th Pl  NE	47.6493794	-122.1972758
4316 106th  Pl NE	47.6494852	-122.1979187
4320 107th Ave  NE	47.6540492	-122.1971089
4321 105th Avenue  NE	47.6492995	-122.1998203
4325 105th Avenue  NE	47.6494959	-122.1997961
4327 105th Avenue  NE	47.6498792	-122.2002336
